roll=-165.49 pitch=47.8 yaw=2.15
roll=-165.49 pitch=47.8 yaw=2.15
roll=-165.49 pitch=47.8 yaw=2.16
roll=-165.49 pitch=47.8 yaw=2.15
roll=-165.49 pitch=47.8 yaw=2.15
roll=-165.48 pitch=47.8 yaw=2.16
roll=-165.49 pitch=47.79 yaw=2.16
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.49 pitch=47.79 yaw=2.15
roll=-165.49 pitch=47.78 yaw=2.16
roll=-165.5 pitch=47.78 yaw=2.15
roll=-165.5 pitch=47.78 yaw=2.15
roll=-165.5 pitch=47.78 yaw=2.16
roll=-165.5 pitch=47.78 yaw=2.16
roll=-165.5 pitch=47.78 yaw=2.15
roll=-165.49 pitch=47.78 yaw=2.16
roll=-165.49 pitch=47.78 yaw=2.16
roll=-165.49 pitch=47.77 yaw=2.16
roll=-165.49 pitch=47.77 yaw=2.16
roll=-165.49 pitch=47.77 yaw=2.16
roll=-165.5 pitch=47.77 yaw=2.16
roll=-165.49 pitch=47.77 yaw=2.15
roll=-165.49 pitch=47.77 yaw=2.16
roll=-165.49 pitch=47.77 yaw=2.16
roll=-165.5 pitch=47.77 yaw=2.16
roll=-165.49 pitch=47.77 yaw=2.16
